plant_taxon,common_name,family,bee_taxa_count,source_backed_rows,direct_visit_feeding_rows,general_association_rows,near_local_rows,within150_rows,garden_note,top_bees,top_localities
Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,10,50,0,50,0,50,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Megachile policaris; Coelioxys texana; Agapostemon texanus; Megachile parallela; Diadasia afflicta; Melissodes tristis; Ashmeadiella; Lithurgus littoralis; Megachile brevis; Osmia texana,"Harper; Kerrville, 10 mi N; United States of America; Davis Mountains"
Tephrosia virginiana,goat’s-rue,Fabaceae,9,63,0,63,63,63,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Chalicodoma (Chelostomoides); Megachile addenda; Megachile rugifrons; Coelioxys immaculatus; Anthidium maculifrons; Megachile lippiae; Megachile parksi; Megachile snowi; Nomia fedorensis,McDade
Opuntia phaeacantha major,,Cactaceae,9,26,0,26,8,26,"Cactus flowers can be intense seasonal resources. Good in dry, sunny, low-water plantings when locally appropriate.",Macrotera texana; Macrotera crassa; Lasioglossum bardum; Agapostemon angelicus; Augochlorella aurata; Augochloropsis; Heriades; Lithurgus littoralis; Macrotera robertsi,"Menard, 14 mi S; Luckenbach, 7 mi SE; Junction, 6 mi N"
Brazoria truncata,,Lamiaceae,9,75,0,75,0,75,Mint-family flowers can be strong bee forage when matched to local water needs.,Osmia subfasciata subfasciata; Augochloropsis; Perdita foveata brachycephala; Melissodes tepaneca; Protandrena abdominalis; Diadasia rinconis; Megachile brevis; Anthophorula morgani; Perdita purpurascens,"Goliad, 16 mi E; Goliad; Harper"
Sphaeralcea,,Malvaceae,8,58,0,58,0,34,Mallows can be useful open flowers for many small-to-medium bees.,Melissodes tristis; Calliopsis subalpina; Megachile lippiae; Megachile newberryae; Melissodes opuntiellus; Coelioxys novomexicanus; Diadasia diminuta; Megachile instita,"Sonora; Davis Mountains; Ft. Davis, 31 mi NE; Harper; Ft. Davis, 41 mi NE"
Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,7,28,0,28,28,28,Some nightshade-family flowers are buzz-pollinated and can support bees that vibrate flowers.,Augochloropsis metallica; Xylocopa virginica; Anthophora californica; Melissodes coreopsis; Melissoptila otomita; Xylocopa; Xylocopa micans,
Parkinsonia,palo verde group,Fabaceae,7,49,0,49,0,49,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Centris atripes; Chalicodoma (Chelostomoides); Melissodes tepaneca; Anthophora affabilis; Halictus ligatus; Melissodes tristis; Protandrena ornatipes,"Weser; Sabinal; Concan; Mason, 10 mi N; Concan, 8 mi S"
Pinaropappus roseus,,Asteraceae,7,22,0,22,0,22,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Diadasia diminuta; Melissodes tristis; Halictus ligatus; Megachile parallela; Melissodes paroselae; Triepeolus lunatus; Xeromelecta californica,United States of America
Silphium asteriscus var. simpsonii,,Asteraceae,6,18,0,18,18,18,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes tepaneca; Megachile; Anthophora californica; Halictus ligatus; Megachile altbitarsis; Peponapis pruinosa,
Haplopappus,,Asteraceae,6,50,0,50,0,50,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Perdita ignota isopappi; Perdita (Hexaperdita) ignota isopappi x crawfordi; Calliopsis; Melissodes coreopsis; Melissodes tristis; Protandrena ornatipes,"Flatonia; Ft. Davis, 41 mi NE; Ft. Davis, 47 mi NE"
Dalea lasiathera,,Fabaceae,6,27,0,27,0,7,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Anthophorula completa; Ashmeadiella; Anthidium porterae; Anthophora californica; Megachile davidsoni; Melissodes tristis,"Eagle Pass, 9 mi SE; 9 mi SE of Eagle Pass; Harper; Sonora"
Baccharis,baccharis,Asteraceae,6,18,0,18,0,18,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes tepaneca; Augochloropsis metallica; Halictus tripartitus; Pseudopanurgus albitarsis; Pseudopanurgus renimaculatus; Xylocopa virginica texana,"San Antonio, Loop 13; Leon Creek; San Antonio"
Opuntia phaeacantha,brown-spined prickly pear,Cactaceae,6,14,0,14,0,14,"Cactus flowers can be intense seasonal resources. Good in dry, sunny, low-water plantings when locally appropriate.",Ashmeadiella; Diadasia rinconis; Melissodes gilensis gilensis; Augochlorella; Augochloropsis; Lithurgus (Lithurgus),Davis Mountain State Park
Viguiera dentata,toothleaf goldeneye,Asteraceae,5,9,9,0,3,9,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Callandrena; Megachile parallela; Xylocopa micans; Megachile,
Vitex,vitex / chaste tree group,Lamiaceae,5,10,1,9,10,10,"Non-native ornamental group; included as a dataset interaction, not a native-plant recommendation.",Megachile policaris; Megachile lippiae; Bombus pensylvanicus; Melissodes tepaneca; Xylocopa virginica texana,"Georgetown, 5 mi S"
Monarda punctata,spotted beebalm,Lamiaceae,5,8,1,7,8,8,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Lasioglossum vierecki; Heriades variolosa; Bombus pensylvanicus; Megachile brevis; Megachile campanulae,Bastrop State Park; Sayers Rd
Coreopsis,tickseed,Asteraceae,5,12,0,12,12,12,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Protandrena ornatipes; Protandrena (Pterosarus); Melissodes wheeleri; Panurgini; Bombus fraternus,"Johnson City; New Braunfels, 15 mi NW; Bastrop"
Rhus aromatica,fragrant sumac,Anacardiaceae,5,8,0,8,8,8,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Sphecodes (Sphecodium); Augochloropsis; Andrena macoupinensis; Andrena perplexa; Lasioglossum bardum,"Austin, 15 mi W"
Penstemon,beardtongue,Plantaginaceae,5,18,0,18,4,18,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthophora californica; Hoplitis; Megachile addenda; Megachile mendica; Melissodes tepaneca,"Kerrville; Fredericksburg; Bastrop State Park; Giddings, 9 mi W"
Quincula lobata,,Solanaceae,5,16,0,16,1,1,Some nightshade-family flowers are buzz-pollinated and can support bees that vibrate flowers.,Perdita missionis; Perdita; Calliopsis callops; Panurgini; Perdita deltophora,"Quemado; Del Rio, 31 km SE; Palo Duro Canyon, 22 min S Claude"
Helianthus debilis,,Asteraceae,5,21,0,21,0,21,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Perdita pratti; Augochlorella karankawa; Perdita scopata; Agapostemon texanus; Augochlorella bracteata,Goliad
Astragalus,,Fabaceae,5,19,0,19,0,19,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Anthophora californica; Hoplitis pilosifrons; Megachile instita; Megachile lippiae; Osmia subfasciata subfasciata,"Davis Mountains; Mason, 10 mi N; Cherry Spring"
Aster,aster,Asteraceae,4,5,2,3,2,2,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Megachile frugalis pseudofrugalis; Bombus pensylvanicus; Bombus sonorus; Melissodes tristis,Devils River; Sonora
Helenium amarum var. badium,bitter sneezeweed,Asteraceae,4,32,0,32,32,32,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Svastra petulca; Megachile policaris; Megachile inimica; Melissodes tepaneca,
Solidago,goldenrod,Asteraceae,4,12,0,12,10,12,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus; Bombus fraternus; Apis; Melissodes,"Austin; Kimble Co. TTU Cntr - Junction; TTU Center, Junction"
Engelmannia peristenia,,Asteraceae,4,17,0,17,0,0,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Halictus ligatus; Andrena verecunda; Augochloropsis; Bombus pensylvanicus pensylvanicus,Eldorado
Plectocephalus americanus,,Asteraceae,4,12,0,12,0,12,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes rivalis; Diadasia rinconis; Megachile policaris; Osmia texana,Weser
Coreopsis tinctoria,plains coreopsis,Asteraceae,4,7,0,7,0,7,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Megachile policaris; Melissodes tepaneca; Pseudopanurgus albitarsis; Coelioxys texana,Kerrville; San Antonio
Argemone albiflora,white prickly poppy,Papaveraceae,3,5,3,2,3,5,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Megachile montivaga; Xylocopa virginica,
Ludwigia octovalvis,,Onagraceae,3,3,3,0,3,3,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Agapostemon splendens; Melissodes bimaculatus; Xylocopa micans,
Cephalanthus occidentalis,buttonbush,Rubiaceae,3,3,3,0,2,3,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Bombus pensylvanicus; Bombus sonorus,
Verbesina virginica,frostweed,Asteraceae,3,3,3,0,2,3,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Bombus pensylvanicus; Halictus ligatus,
Gaillardia aestivalis,lanceleaf blanketflower,Asteraceae,3,3,3,0,1,3,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Bombus pensylvanicus; Xylocopa virginica,
Helianthus maximiliani,Maximilian sunflower,Asteraceae,3,3,2,1,2,3,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Apis mellifera; Bombus sonorus; Megachile parallela,
Opuntia engelmannii,Engelmann prickly pear,Cactaceae,3,22,0,22,22,22,"Cactus flowers can be intense seasonal resources. Good in dry, sunny, low-water plantings when locally appropriate.",Diadasia rinconis; Melissodes coreopsis; Xylocopa,
Senecio,,Asteraceae,3,20,0,20,20,20,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Osmia coloradensis; Halictus ligatus; Osmia georgica,Palmetto State Park
Vitex agnus-castus,chaste tree,Lamiaceae,3,7,0,7,7,7,"Non-native ornamental; included as a dataset interaction, not a native-plant recommendation.",Agapostemon meliventris; Agapostemon melliventris; Melissodes bimaculatus,
Pyrrhopappus,false dandelion,Asteraceae,3,7,0,7,7,7,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Andrena senticulosa; Andrena crawfordi; Bombus pensylvanicus pensylvanicus,"Giddings, 9 mi W; Paige"
Helenium autumnale,common sneezeweed,Asteraceae,3,7,0,7,7,7,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Megachile policaris; Nomia nortoni nortoni; Protandrena ornatipes,Johnson City
Croton monanthogynus,one-seed croton / prairie tea,Euphorbiaceae,3,6,0,6,6,6,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Megachile altbitarsis; Megachile inimica; Triepeolus concavus,
Cirsium altissimum,,Asteraceae,3,3,0,3,3,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Megachile montivaga; Megachile policaris; Nomia nortoni nortoni,Austin
Callirhoe,winecup / poppymallow,Malvaceae,3,43,0,43,2,43,Mallows can be useful open flowers for many small-to-medium bees.,Diadasia afflicta; Melissodes intortus; Megachile comata,Harper; Lexington; Bastrop
Rhus,,Anacardiaceae,3,4,0,4,1,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Halictus tripartitus; Andrena monilicornis; Sphecodes minor,"Devils River; Davis Mountains; Austin, 15 mi W"
Asteraceae,sunflower family,Asteraceae,3,3,0,3,1,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Agapostemon splendens; Agapostemon texanus; Nomada texana,Salado Creek
Bradburia pilosa,,Asteraceae,3,179,0,179,0,179,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Perdita (Hexaperdita) ignota isopappi x crawfordi; Perdita ignota crawfordi; Perdita xanthisma,"Lexington, 7 mi N; Lexington, 6 mi S"
Physaria gordonii,,Brassicaceae,3,45,0,45,0,0,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Andrena primulifrons; Andrena trapezoidea; Halictus ligatus,Mertzon
Symphyotrichum subulatum,annual saltmarsh aster,Asteraceae,3,43,0,43,0,43,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Perdita ignota crawfordi; Augochlorella; Augochlorella aurata,Flatonia
Lupinus,lupine / bluebonnet group,Fabaceae,3,15,0,15,0,0,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Megachile brevis; Anthidium palmarum; Hoplitis pilosifrons,Christoval; Quemado
Larrea tridentata,creosote bush,Zygophyllaceae,3,13,0,13,0,13,Native to drier desert regions; verify suitability for Hays County before planting.,Perdita sexmaculata; Megachile lippiae; Perdita,"Balmorhea, 7 km E"
Bahia,,Asteraceae,3,12,0,12,0,12,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes tristis; Anthidium palmarum; Megachile policaris,Davis Mountains
Solanum,,Solanaceae,3,7,0,7,0,7,Some nightshade-family flowers are buzz-pollinated and can support bees that vibrate flowers.,Perdita sexmaculata; Perdita munita; Anthophora californica,Davis Mountains; Harper
Mimosa,sensitive-briar / mimosa group,Fabaceae,3,6,0,6,0,3,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Melissodes communis communis; Anthophora californica; Augochloropsis,Harper; Sonora
Prosopis glandulosa,honey mesquite,Fabaceae,3,6,0,6,0,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Perdita ashmeadi vierecki; Apidae; Perdita exclamans,"Del Rio, 16 mi SE; TTU Center, Junction"
Teucrium,,Lamiaceae,3,6,0,6,0,6,Mint-family flowers can be strong bee forage when matched to local water needs.,Lithurgus gibbosus; Melissodes communis communis; Svastra obliqua obliqua,Weser
Nepeta cataria,catnip,Lamiaceae,3,4,0,4,0,4,"Non-native herb; included as a dataset interaction, not a native-plant recommendation.",Megachile brevis; Heriades; Megachile parallela,Kerrville
Cephalanthus,buttonbush,Rubiaceae,2,5,5,0,4,5,Buttonbush and relatives can be valuable where soil moisture fits.,Bombus pensylvanicus; Thoracobombus,
Ranunculus macranthus,large-flowered buttercup,Ranunculaceae,2,4,4,0,4,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera; Halictus ligatus,
Delphinium carolinianum,,Ranunculaceae,2,4,4,0,2,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus; Xylocopa tabaniformis parkinsoniae,
Dalea tenuis,,Fabaceae,2,4,4,0,0,4,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Anthophora californica; Bombus sonorus,
Melochia tomentosa,,Malvaceae,2,3,3,0,3,3,Mallows can be useful open flowers for many small-to-medium bees.,Bombus sonorus; Bombus pensylvanicus,
Carduinae,,Compositae,2,3,3,0,0,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus; Bombus pensylvanicus,
Vernonia,,Asteraceae,2,3,3,0,0,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus sonorus; Bombus pensylvanicus,
Eryngium leavenworthii,Leavenworth’s eryngo,Apiaceae,2,4,2,2,3,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Bombus sonorus,
Ibervillea lindheimeri,,Cucurbitaceae,2,3,2,1,1,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Ceratina cobaltina,Austin
Malvaviscus arboreus,,Malvaceae,2,2,2,0,1,2,Mallows can be useful open flowers for many small-to-medium bees.,Apis mellifera; Bombus sonorus,
Heliantheae,,Compositae,2,2,2,0,1,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Bombus sonorus,
Passiflora,,Passifloraceae,2,2,2,0,1,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Xylocopa tabaniformis parkinsoniae,
Tecoma stans,,Bignoniaceae,2,3,1,2,2,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Thoracobombus,
Plantae,,,2,2,1,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthophora urbana; Lasioglossum disparile,"Devils River below Dolan Falls, walk to polymorphic oaks; Pontotoc, 6 mi. S"
Bauhinia,,Fabaceae,2,2,1,1,0,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Apis mellifera; Bombus pensylvanicus,
Verbesina encelioides,,Asteraceae,2,2,1,1,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Epeolus bifasciatus; Svastra grandissima,"Kenedy, Novias, 3 mi S"
Corydalis curvisiliqua,,Papaveraceae,2,28,0,28,24,24,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthophora affabilis; Eucera chrysobotryae,Colorado City; 5 mi S of Christoval; Eldorado
Polygala alba,white milkwort,Polygalaceae,2,17,0,17,17,17,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Andrena crawfordi; Andrena afimbriata,Paige
Pontederia cordata,,Pontederiaceae,2,8,0,8,8,8,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Megachile georgica; Pseudopanurgus rugosus,Bastrop
Sideroxylon lanuginosum,,Sapotaceae,2,4,0,4,4,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Colletes bumeliae; Colletes inuncantipedis,"Sayersville; Bastrop, 1 mi N"
Chaetopappa asteroides,,Asteraceae,2,4,0,4,4,4,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Heriades carinata; Pseudopanurgus texanus,
Coreopsis basalis,goldenmane tickseed,Asteraceae,2,4,0,4,4,4,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Heriades carinata; Svastra petulca,
Nemophila phacelioides,,Hydrophyllaceae,2,4,0,4,2,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera; Ceratina cobaltina,Austin
Pediomelum rhombifolium,,Fabaceae,2,2,0,2,2,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Megachile brevis; Protandrena abdominalis,Sayers Rd
Cercis canadensis,,Fabaceae,2,2,0,2,2,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Osmia ribifloris; Xylocopa virginica,"Austin, Red Bud Isle"
Cactaceae,,Cactaceae,2,3,0,3,1,3,"Cactus flowers can be intense seasonal resources. Good in dry, sunny, low-water plantings when locally appropriate.",Diadasia rinconis; Agapostemon splendens,"Giddings, 7 mi SW; Cherry Spring"
Rudbeckia,,Asteraceae,2,2,0,2,1,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Panurgini; Svastra petulca suffusa,"Blanco, 8 mi E; Lexington"
Agalinis purpurea,,Orobanchaceae,2,105,0,105,0,105,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthophorula micheneri; Augochlorella,Flatonia
Verbena cloverae,,Verbenaceae,2,22,0,22,0,0,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Calliopsis michenerella; Calliopsis micheneri,Carrizo Springs
Pyrrhopappus carolinianus,Carolina false dandelion,Asteraceae,2,8,0,8,0,0,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Andrena verecunda; Andrena afimbriata,Eldorado
Clematis,,Ranunculaceae,2,6,0,6,0,6,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Agapostemon melliventris; Melissodes tepaneca,"Sarita, 5 km N"
Salvia ballotaeflora,,Lamiaceae,2,6,0,6,0,6,Mint-family flowers can be strong bee forage when matched to local water needs.,Melissodes tristis; Agapostemon texanus,United States of America
Crataegus,,Rosaceae,2,4,0,4,0,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Megachile lippiae; Xylocopa californica arizonensis,Davis Mountains
Croton,,Euphorbiaceae,2,3,0,3,0,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus; Bombus pensylvanicus pensylvanicus,"Lexington, 7 mi N"
Salvia,,Lamiaceae,2,3,0,3,0,3,Mint-family flowers can be strong bee forage when matched to local water needs.,Bombus pensylvanicus; Megachile comata,Kerrville
Rudbeckia hirta var. pulcherrima,,Asteraceae,2,3,0,3,0,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Coelioxys texana; Megachile parallela,Goliad
Mimosa borealis,,Fabaceae,2,3,0,3,0,3,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Lasioglossum bardum; Melissodes tristis,Harper
Tetragonotheca ludoviciana,,Asteraceae,2,2,0,2,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Ashmeadiella bucconis; Dianthidium simile,Kerrville
Ratibida,,Asteraceae,2,2,0,2,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Dieunomia apacha; Melissodes gelidus,Dalhart
Prunus mexicana,,Rosaceae,1,3,3,0,3,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera,
Eysenhardtia texana,,Fabaceae,1,4,3,1,0,4,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Apis mellifera,
Zinnia,,Asteraceae,1,3,2,1,2,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Streptanthus petiolaris,,Brassicaceae,1,2,2,0,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthidiellum notatum,
Liatris punctata,,Asteraceae,1,2,2,0,2,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Salvia texana,,Lamiaceae,1,2,2,0,2,2,Mint-family flowers can be strong bee forage when matched to local water needs.,Bombus sonorus,
Justicia pilosella,,Acanthaceae,1,2,2,0,1,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Anthophila,
Eysenhardtia,,Fabaceae,1,2,2,0,1,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Bombus pensylvanicus,
